date,equity,position,daily_return,peak_equity,drawdown
2026-01-08,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-09,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-10,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-11,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-12,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-13,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-14,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-15,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-16,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-17,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-18,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-19,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-20,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-21,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-22,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-23,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-24,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-25,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-26,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-27,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-28,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-29,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-30,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-01-31,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-02-01,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-02-02,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-02-03,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-02-04,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2026-02-05,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
